file_name;algo_name;learning evaluation instances;evaluation time (cpu seconds);model cost (RAM-Hours);classified instances;classifications correct (percent);Kappa Statistic (percent);Kappa Temporal Statistic (percent);Kappa M Statistic (percent);model training instances;model serialized size (bytes);tree size (nodes);tree size (leaves);active learning leaves;tree depth;active leaf byte size estimate;inactive leaf byte size estimate;byte size estimate overhead
﻿en_10000;HoeffdingTree;9987.0;12.4488798;-1.2560083018615843E-10;9987.0;65.22479222989887;12.535972682964328;26.278921672680944;8.315733896515301;9987.0;-39.0;11.0;6.0;6.0;5.0;0.0;0.0;1.0
﻿en_2000;HoeffdingTree;1993.0;1.2948083;-1.339871332877212E-12;1993.0;70.3963873557451;31.3625915120695;36.89839572192513;24.64878671775223;1993.0;-4.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0
﻿en_250000;HoeffdingTree;24967.0;42.5102725;-8.138104044418368E-10;24967.0;67.08855689510153;28.22707451140968;30.658227848101276;14.334862385321113;24967.0;-74.0;21.0;11.0;11.0;10.0;0.0;0.0;1.0
﻿en_5000;HoeffdingTree;4991.0;4.7580305;-2.2156306076794864E-11;4991.0;66.86034862752955;13.873705854232691;30.092983939137792;9.369863013698634;4991.0;-18.0;5.0;3.0;3.0;2.0;0.0;0.0;1.0
﻿en_50000;HoeffdingTree;49945.0;118.2175578;-4.618027979042381E-9;49945.0;69.9629592551807;38.03891432786479;36.39447129653185;21.5171331415119;49945.0;-151.0;43.0;22.0;22.0;17.0;0.0;0.0;1.0
﻿en_50000_reverb;HoeffdingTree;21201.0;37.8146424;-7.239179524282614E-10;21201.0;57.992547521343326;7.782399953488753;15.678848702897167;6.2230177950931695;21201.0;-74.0;21.0;11.0;11.0;10.0;0.0;0.0;1.0
﻿en_50000_text_triple_norm;HoeffdingTree;19345.0;35.5994282;-6.170430348461701E-10;19345.0;62.26932023778754;3.7398912220174467;20.817964851377738;1.9873774674365543;19345.0;-67.0;19.0;10.0;10.0;9.0;0.0;0.0;1.0
﻿en_50000_text_triple_std;HoeffdingTree;19346.0;35.2250258;-6.105535375471744E-10;19346.0;61.91977669802543;2.2901359863537234;20.11494252873564;1.0875402792696023;19346.0;-67.0;19.0;10.0;10.0;9.0;0.0;0.0;1.0
﻿en_50000_triple_norm;HoeffdingTree;19318.0;21.7777396;-4.169098438902034E-10;19318.0;61.662698001863546;2.0790847286551863;19.587404994571127;0.47036688617120925;19318.0;-74.0;21.0;11.0;11.0;10.0;0.0;0.0;1.0
﻿en_50000_triple_std;HoeffdingTree;19335.0;25.8025654;-4.939605170446965E-10;19335.0;61.370571502456684;0.785384123314877;18.97374701670644;-0.3223640026863762;19335.0;-74.0;21.0;11.0;11.0;10.0;0.0;0.0;1.0
