file_name;algo_name;learning evaluation instances;evaluation time (cpu seconds);model cost (RAM-Hours);classified instances;classifications correct (percent);Kappa Statistic (percent);Kappa Temporal Statistic (percent);Kappa M Statistic (percent);model training instances;model serialized size (bytes)
﻿en_10000;J48;9987.0;7.1916461;-1.8604839893264904E-12;9987.0;78.81245619305096;55.41310530490674;55.0838463171301;44.139387539598715;9987.0;-1.0
﻿en_2000;J48;1993.0;1.3104084;-3.3900359024604164E-13;1993.0;71.80130456598093;35.37143655060752;39.89304812834224;28.22477650063856;1993.0;-1.0
﻿en_250000;J48;24967.0;26.0833672;-6.747785748706924E-12;24967.0;80.21388232466856;57.93534927099909;58.31223628691983;48.49874895746456;24967.0;-1.0
﻿en_5000;J48;4991.0;3.3540215;-8.67687760748797E-13;4991.0;77.84011220196354;49.97099792163854;53.25443786982248;39.39726027397259;4991.0;-1.0
﻿en_50000;J48;49945.0;70.1380496;-1.8144763592216704E-11;49945.0;80.56862548803684;59.52889579565933;58.852709234291524;49.22835469526549;49945.0;-1.0
﻿en_50000_reverb;J48;21201.0;23.1973487;-6.001170698760284E-12;21201.0;71.98717041648979;43.027199705519784;43.77011929558795;37.464462461830045;21201.0;-1.0
﻿en_50000_text_triple_norm;J48;19345.0;21.2005359;-5.484593799337744E-12;19345.0;69.64073403980356;34.06652884340201;36.28769798220872;21.136027930710355;19345.0;-1.0
﻿en_50000_text_triple_std;J48;19346.0;20.9821345;-5.428093200963405E-12;19346.0;68.85144215858575;32.6209752028604;34.65625677727174;19.09237379162191;19346.0;-1.0
﻿en_50000_triple_norm;J48;19318.0;14.5548933;-3.765361305947105E-12;19318.0;57.93560409980329;7.641907795954389;11.769815418023901;-9.205751915065177;19318.0;-1.0
﻿en_50000_triple_std;J48;19335.0;16.6453067;-4.306152747530076E-12;19335.0;60.48099301784329;12.259588010043531;17.107832501627247;-2.6326393552720053;19335.0;-1.0
